id,type,network,symbol,buy_exchange,sell_exchange,buy_price,sell_price,optimized_amount,expected_profit,standard_profit,flashloan_profit,standard_gas_cost,flashloan_gas_cost,risk_score,execution_venue,buy_venue_type,sell_venue_type,execution_strategy,timestamp,ai_recommended_strategy,ai_confidence,actual_profit,executed_at,execution_gas_cost,status,executing_trader,ai_profit,best_strategy,exchange,trading_path,trading_pairs,prices
opp_triangle_5_1952,triangle,base,,,,,,6.7644648292024865,0.322803210653793,0.322803210653793,0.3009916618933172,0.005336860719794532,0.007273666974092085,0.31016665508849106,onchain,,,standard,2025-03-27T13:14:57.444906,standard,0.06756918159611718,0.322803210653793,2025-03-27T13:14:57.445618,0.005336860719794532,success,AIOptimizedTrader,0.322803210653793,standard,pancakeswap,"['USDC', 'WBTC', 'USDT', 'DAI', 'USDC']","['USDC/WBTC', 'WBTC/USDT', 'USDT/DAI', 'DAI/USDC']","[444.80540841717783, 443.06223065529457, 443.02896814971984, 451.76893398517853]"
opp_triangle_7_5650,triangle,optimism,,,,,,2.0042432191423534,0.5131286440224544,0.03460198257187509,0.5131286440224544,0.003962401736606856,0.009453110626401837,0.11317106468677283,onchain,,,flashloan,2025-03-27T13:14:57.452399,flashloan,0.99,0.5131286440224544,2025-03-27T13:14:57.453111,0.009453110626401837,success,AIOptimizedTrader,0.5131286440224544,flashloan,curve,"['ETH', 'WBTC', 'DAI', 'USDT', 'ETH']","['ETH/WBTC', 'WBTC/DAI', 'DAI/USDT', 'USDT/ETH']","[664.7357476210867, 656.9209660986635, 667.646387578114, 668.8784893608688]"
opp_direct_7_1997,direct,ethereum,WBTC/ETH,pancakeswap,sushiswap,2033.7466762586585,2092.723581711485,1.1847134893824387,1025.1882913794361,69.86719614489189,1025.1882913794361,0.0035393071046186425,0.007569475261175595,0.1830861232808827,onchain,dex,dex,flashloan,2025-03-27T13:14:57.445782,flashloan,0.99,1025.1882913794361,2025-03-27T13:14:57.446484,0.007569475261175595,success,AIOptimizedTrader,1025.1882913794361,flashloan,,,,
opp_triangle_1_2789,triangle,arbitrum,,,,,,6.114853752626302,0.8750795989776763,0.1023671970915504,0.8750795989776763,0.005677633514635634,0.00530565473917129,0.1859999737806855,onchain,,,flashloan,2025-03-27T13:14:57.451827,flashloan,0.99,0.8750795989776763,2025-03-27T13:14:57.452222,0.00530565473917129,success,AIOptimizedTrader,0.8750795989776763,flashloan,curve,"['WBTC', 'USDC', 'USDT', 'MATIC', 'WBTC']","['WBTC/USDC', 'USDC/USDT', 'USDT/MATIC', 'MATIC/WBTC']","[1225.3207629543879, 1230.8513440479005, 1235.5409842796744, 1255.1183594426982]"
opp_direct_3_7786,direct,base,ETH/USDT,curve,pancakeswap,2339.204037742161,2389.6801997518814,3.251045873079267,1811.0806803763005,164.09659607066553,1811.0806803763005,0.0037221199171402334,0.006481154073903634,0.19268176894433475,onchain,dex,dex,flashloan,2025-03-27T13:14:57.434316,flashloan,0.99,1811.0806803763005,2025-03-27T13:14:57.434680,0.006481154073903634,success,AIOptimizedTrader,1811.0806803763005,flashloan,,,,
opp_direct_4_9934,direct,optimism,MATIC/USDT,uniswap,sushiswap,1413.1975646302574,1436.1395270042187,2.817714379308078,1287.4514007214277,64.64100082478053,1287.4514007214277,0.0028964458752802893,0.006738472965143479,0.3915999339447236,onchain,dex,dex,flashloan,2025-03-27T13:14:57.448538,flashloan,0.99,1287.4514007214277,2025-03-27T13:14:57.449013,0.006738472965143479,success,AIOptimizedTrader,1287.4514007214277,flashloan,,,,
opp_direct_4_1426,direct,ethereum,ETH/USDC,balancer,curve,4613.926636038639,4521.06309470781,0.40571493439479556,-37.680595706261805,-37.680595706261805,-132.6008866339257,0.004470127556003626,0.005164891029667532,0.3626525641924373,onchain,dex,dex,standard,2025-03-27T13:14:57.445755,standard,0.99,-37.680595706261805,2025-03-27T13:14:57.446469,0.004470127556003626,success,AIOptimizedTrader,-37.680595706261805,standard,,,,
opp_triangle_6_3275,triangle,base,,,,,,9.464293934844633,-0.09189640634388775,-0.09189640634388775,-0.4349623783420498,0.0036694275243428966,0.007148557391291821,0.3952509864846674,onchain,,,standard,2025-03-27T13:14:57.443291,standard,0.99,-0.09189640634388775,2025-03-27T13:14:57.443846,0.0036694275243428966,success,AIOptimizedTrader,-0.09189640634388775,standard,curve,"['WBTC', 'ETH', 'USDT', 'WBTC']","['WBTC/ETH', 'ETH/USDT', 'USDT/WBTC']","[424.7037159140718, 433.15625614155033, 433.42557924961994]"
opp_direct_4_9810,direct,polygon,USDC/DAI,curve,balancer,125.62088040038289,128.37387184980176,3.1142971726814506,87.08559991895439,8.569420065015265,87.08559991895439,0.004213422326135309,0.0032999247865181953,0.45300926910133776,onchain,dex,dex,flashloan,2025-03-27T13:14:57.453940,flashloan,0.99,87.08559991895439,2025-03-27T13:14:57.454491,0.0032999247865181953,success,AIOptimizedTrader,87.08559991895439,flashloan,,,,
opp_direct_4_2248,direct,arbitrum,WBTC/ETH,pancakeswap,uniswap,1035.1863101669662,1022.6473214107211,2.15751063131809,-27.054269783582455,-27.054269783582455,-91.35041193443836,0.0012682360056800249,0.007398625334331798,0.35820447972809977,onchain,dex,dex,standard,2025-03-27T13:14:57.449147,standard,0.99,-27.054269783582455,2025-03-27T13:14:57.449617,0.0012682360056800249,success,AIOptimizedTrader,-27.054269783582455,standard,,,,
opp_direct_3_8887,direct,polygon,ETH/USDT,uniswap,sushiswap,1508.3687635963024,1452.2216192553694,2.8779133149355687,-161.5881061169746,-161.5881061169746,-724.5082715297713,0.0014918225942770142,0.006785085519658738,0.2678091132717284,onchain,dex,dex,standard,2025-03-27T13:14:57.447751,standard,0.99,-161.5881061169746,2025-03-27T13:14:57.448389,0.0014918225942770142,success,AIOptimizedTrader,-161.5881061169746,standard,,,,
opp_triangle_5_1270,triangle,arbitrum,,,,,,9.905513366463575,0.26575371530763886,0.26575371530763886,0.20219845503376166,0.004253898261934301,0.008142785848789256,0.279412986440841,onchain,,,standard,2025-03-27T13:14:57.443278,standard,0.23915097555759499,0.26575371530763886,2025-03-27T13:14:57.443842,0.004253898261934301,success,AIOptimizedTrader,0.26575371530763886,standard,balancer,"['ETH', 'USDT', 'WBTC', 'ETH']","['ETH/USDT', 'USDT/WBTC', 'WBTC/ETH']","[1893.7095774298693, 1919.692420248757, 1916.4526814030498]"
opp_triangle_3_4848,triangle,base,,,,,,9.212009824365087,0.49056072882361296,0.059182396055927865,0.49056072882361296,0.0039404423852477995,0.004877291132099641,0.27833511481770357,onchain,,,flashloan,2025-03-27T13:14:57.446606,flashloan,0.99,0.49056072882361296,2025-03-27T13:14:57.447146,0.004877291132099641,success,AIOptimizedTrader,0.49056072882361296,flashloan,balancer,"['DAI', 'WBTC', 'USDC', 'MATIC', 'DAI']","['DAI/WBTC', 'WBTC/USDC', 'USDC/MATIC', 'MATIC/DAI']","[1956.8326399556731, 1921.21379449533, 1916.2569572920347, 1915.8816672893113]"
opp_direct_5_5845,direct,arbitrum,WBTC/ETH,uniswap,pancakeswap,2937.340721454295,3049.8492212188603,2.747881289359763,309.1552804343602,309.1552804343602,229.10258176030118,0.004720962626341745,0.004770487365667469,0.3282060641896401,onchain,dex,dex,standard,2025-03-27T13:14:57.450639,standard,0.25894009819785624,309.1552804343602,2025-03-27T13:14:57.451421,0.004720962626341745,success,AIOptimizedTrader,309.1552804343602,standard,,,,
opp_triangle_1_4617,triangle,optimism,,,,,,6.606754826106455,-0.11968563320164781,-0.11968563320164781,-0.6034093764009923,0.0028058591874695078,0.005466559228737802,0.13918897010315662,onchain,,,standard,2025-03-27T13:14:57.453201,standard,0.99,-0.11968563320164781,2025-03-27T13:14:57.453539,0.0028058591874695078,success,AIOptimizedTrader,-0.11968563320164781,standard,balancer,"['USDT', 'MATIC', 'WBTC', 'DAI', 'USDT']","['USDT/MATIC', 'MATIC/WBTC', 'WBTC/DAI', 'DAI/USDT']","[1988.3468874053644, 2013.2615912231247, 1979.127585779498, 1974.916669035341]"
opp_direct_2_1989,direct,base,ETH/USDC,sushiswap,curve,534.8241069722931,547.4555163589363,2.9773515564125135,394.04684262231007,37.60596302774669,394.04684262231007,0.0021833692591121025,0.004490004657040662,0.35581104373513184,onchain,dex,dex,flashloan,2025-03-27T13:14:57.444873,flashloan,0.99,394.04684262231007,2025-03-27T13:14:57.445599,0.004490004657040662,success,AIOptimizedTrader,394.04684262231007,flashloan,,,,
opp_direct_1_8596,direct,polygon,ETH/USDC,sushiswap,uniswap,660.5233148374205,672.0669399599037,2.690371053877945,467.92790392608737,31.053059641672814,467.92790392608737,0.003575244674405799,0.006721970504079333,0.10586433948464308,onchain,dex,dex,flashloan,2025-03-27T13:14:57.447249,flashloan,0.99,467.92790392608737,2025-03-27T13:14:57.447625,0.006721970504079333,success,AIOptimizedTrader,467.92790392608737,flashloan,,,,
opp_triangle_4_4062,triangle,base,,,,,,5.697493316440489,0.2763885952405405,0.2763885952405405,0.25362011042336763,0.0035077685562012323,0.009155849586215422,0.31120220588139424,onchain,,,standard,2025-03-27T13:14:57.452359,standard,0.08237852505222762,0.2763885952405405,2025-03-27T13:14:57.453096,0.0035077685562012323,success,AIOptimizedTrader,0.2763885952405405,standard,sushiswap,"['USDC', 'DAI', 'USDT', 'USDC']","['USDC/DAI', 'DAI/USDT', 'USDT/USDC']","[1473.59814739588, 1458.2514408755276, 1448.5110781629082]"
opp_triangle_3_7905,triangle,ethereum,,,,,,5.204393740930316,-0.15103959166645578,-0.15103959166645578,-0.34430149228413887,0.0059354808184915574,0.009042792489105222,0.18014377102606643,onchain,,,standard,2025-03-27T13:14:57.451855,standard,0.99,-0.15103959166645578,2025-03-27T13:14:57.452234,0.0059354808184915574,success,AIOptimizedTrader,-0.15103959166645578,standard,balancer,"['DAI', 'USDC', 'MATIC', 'DAI']","['DAI/USDC', 'USDC/MATIC', 'MATIC/DAI']","[645.9499777697407, 645.9446688353228, 654.8110437075425]"
opp_triangle_1_9838,triangle,base,,,,,,6.542276801090711,3.1724799200321065,0.2549636677754962,3.1724799200321065,0.005032248408085512,0.0063289501801629,0.23384067269898523,onchain,,,flashloan,2025-03-27T13:14:57.448504,flashloan,0.99,3.1724799200321065,2025-03-27T13:14:57.448972,0.0063289501801629,success,AIOptimizedTrader,3.1724799200321065,flashloan,curve,"['WBTC', 'USDT', 'ETH', 'USDC', 'WBTC']","['WBTC/USDT', 'USDT/ETH', 'ETH/USDC', 'USDC/WBTC']","[129.75701764016077, 129.07020947744195, 129.74950824946652, 131.4162221285551]"
opp_direct_3_2233,direct,base,USDC/DAI,balancer,curve,638.9434670405404,667.329116531785,3.638764137552826,1860.5898244000807,103.28568796810029,1860.5898244000807,0.0029954217849084883,0.006098913017823226,0.4303303347409072,onchain,dex,dex,flashloan,2025-03-27T13:14:57.453927,flashloan,0.99,1860.5898244000807,2025-03-27T13:14:57.454486,0.006098913017823226,success,AIOptimizedTrader,1860.5898244000807,flashloan,,,,
opp_triangle_2_2382,triangle,polygon,,,,,,3.7287085085470157,1.0555830931697268,0.11910475779640795,1.0555830931697268,0.005778264206172985,0.005448084277261581,0.12990292752901017,onchain,,,flashloan,2025-03-27T13:14:57.449985,flashloan,0.99,1.0555830931697268,2025-03-27T13:14:57.450479,0.005448084277261581,success,AIOptimizedTrader,1.0555830931697268,flashloan,uniswap,"['MATIC', 'ETH', 'DAI', 'WBTC', 'MATIC']","['MATIC/ETH', 'ETH/DAI', 'DAI/WBTC', 'WBTC/MATIC']","[924.613180847288, 936.3683051090806, 922.6606467493054, 933.0215001027831]"
opp_direct_1_9644,direct,ethereum,MATIC/USDT,uniswap,sushiswap,3963.126424956256,4141.593304217958,2.4766415849250594,8782.358346619596,441.993701048465,8782.358346619596,0.004793662865090949,0.004842757603038162,0.4688688889866329,onchain,dex,dex,flashloan,2025-03-27T13:14:57.453632,flashloan,0.99,8782.358346619596,2025-03-27T13:14:57.453822,0.004842757603038162,success,AIOptimizedTrader,8782.358346619596,flashloan,,,,
opp_direct_2_3869,direct,optimism,USDC/DAI,sushiswap,pancakeswap,2829.9128343106604,2893.441153825658,0.5467947199212115,427.32283071723265,34.734681742014324,427.32283071723265,0.0022679342541077696,0.006301723755104287,0.4327833124333941,onchain,dex,dex,flashloan,2025-03-27T13:14:57.433590,flashloan,0.99,427.32283071723265,2025-03-27T13:14:57.434188,0.006301723755104287,success,AIOptimizedTrader,427.32283071723265,flashloan,,,,
opp_triangle_5_1419,triangle,ethereum,,,,,,7.161860345072189,3.402517636803501,0.2732700149864583,3.402517636803501,0.0031120539692572093,0.008997888450076309,0.1901393321777416,onchain,,,flashloan,2025-03-27T13:14:57.453953,flashloan,0.99,3.402517636803501,2025-03-27T13:14:57.454496,0.008997888450076309,success,AIOptimizedTrader,3.402517636803501,flashloan,balancer,"['USDT', 'USDC', 'ETH', 'MATIC', 'USDT']","['USDT/USDC', 'USDC/ETH', 'ETH/MATIC', 'MATIC/USDT']","[1353.060361078343, 1354.9675040329034, 1365.8397714182518, 1389.3561781496496]"
opp_direct_4_2766,direct,optimism,MATIC/USDT,pancakeswap,uniswap,2509.946458676661,2571.3389571132675,3.1146309799419893,191.2130973351428,191.2130973351428,150.30788540288134,0.0018802315512282104,0.007008469103274437,0.28229213851069135,onchain,dex,dex,standard,2025-03-27T13:14:57.443262,standard,0.2139247389553349,191.2130973351428,2025-03-27T13:14:57.443837,0.0018802315512282104,success,AIOptimizedTrader,191.2130973351428,standard,,,,
opp_direct_3_4437,direct,arbitrum,MATIC/USDT,uniswap,sushiswap,2855.3504270253616,2806.8696666648457,4.407403919770606,-213.67894468263745,-213.67894468263745,-1344.4505859325482,0.004651436240326188,0.0052233484620188095,0.15681223909931663,onchain,dex,dex,standard,2025-03-27T13:14:57.444325,standard,0.99,-213.67894468263745,2025-03-27T13:14:57.444762,0.004651436240326188,success,AIOptimizedTrader,-213.67894468263745,standard,,,,
opp_direct_4_7628,direct,ethereum,WBTC/ETH,uniswap,pancakeswap,681.2606416988184,698.1270673405558,2.6402360773231854,789.5045503843061,44.5283468479163,789.5045503843061,0.0029986268875128452,0.004843254239426398,0.4809087100379348,onchain,dex,dex,flashloan,2025-03-27T13:14:57.433416,flashloan,0.26937715910316473,789.5045503843061,2025-03-27T13:14:57.433491,0.004843254239426398,success,AIOptimizedTrader,789.5045503843061,flashloan,,,,
opp_direct_2_5002,direct,polygon,USDC/DAI,pancakeswap,balancer,2948.7425997480195,3067.157406042224,0.35993179641284867,632.9720529555368,42.61733199273729,632.9720529555368,0.003921958615228105,0.003066292106633301,0.3992859536637048,onchain,dex,dex,flashloan,2025-03-27T13:14:57.443947,flashloan,0.99,632.9720529555368,2025-03-27T13:14:57.444212,0.003066292106633301,success,AIOptimizedTrader,632.9720529555368,flashloan,,,,
opp_triangle_7_2234,triangle,base,,,,,,3.7826965250681432,2.176408418523358,0.16591584141657784,2.176408418523358,0.0031641097335646214,0.004456814550403085,0.23723270189869636,onchain,,,flashloan,2025-03-27T13:14:57.450673,flashloan,0.99,2.176408418523358,2025-03-27T13:14:57.451430,0.004456814550403085,success,AIOptimizedTrader,2.176408418523358,flashloan,sushiswap,"['USDC', 'MATIC', 'USDT', 'WBTC', 'USDC']","['USDC/MATIC', 'MATIC/USDT', 'USDT/WBTC', 'WBTC/USDC']","[174.74009335586777, 176.81291456751936, 176.7578055930965, 173.33728128854614]"
opp_triangle_1_3860,triangle,arbitrum,,,,,,7.95363134063509,-0.04627263679846619,-0.04627263679846619,-0.19397941015293288,0.005406386579807208,0.009650125138929799,0.17988755724499447,onchain,,,standard,2025-03-27T13:14:57.444303,standard,0.99,-0.04627263679846619,2025-03-27T13:14:57.444749,0.005406386579807208,success,AIOptimizedTrader,-0.04627263679846619,standard,sushiswap,"['MATIC', 'USDT', 'ETH', 'MATIC']","['MATIC/USDT', 'USDT/ETH', 'ETH/MATIC']","[459.6210120393488, 450.8807748458309, 446.6692503510464]"
opp_direct_2_3378,direct,polygon,ETH/USDT,uniswap,curve,632.810061538792,623.6893592377007,2.6863975648925136,-24.506055299746066,-24.506055299746066,-168.86448820970375,0.004222847985045162,0.00656514921113474,0.2544968620737623,onchain,dex,dex,standard,2025-03-27T13:14:57.444315,standard,0.99,-24.506055299746066,2025-03-27T13:14:57.444757,0.004222847985045162,success,AIOptimizedTrader,-24.506055299746066,standard,,,,
opp_triangle_2_6538,triangle,optimism,,,,,,4.017845121043802,0.9596346168750681,0.06751157441882355,0.9596346168750681,0.005864048335324636,0.007909036320199112,0.1998467567971321,onchain,,,flashloan,2025-03-27T13:14:57.449128,flashloan,0.99,0.9596346168750681,2025-03-27T13:14:57.449608,0.007909036320199112,success,AIOptimizedTrader,0.9596346168750681,flashloan,balancer,"['ETH', 'USDC', 'WBTC', 'ETH']","['ETH/USDC', 'USDC/WBTC', 'WBTC/ETH']","[1711.2364264454554, 1701.3519887222346, 1681.687227990838]"
opp_direct_5_5909,direct,base,ETH/USDT,pancakeswap,uniswap,2285.5029546468777,2185.143585854585,1.211901523912179,-121.63041450089622,-121.63041450089622,-705.73524054196,0.004742522652456805,0.00468237114100725,0.26333738342627583,onchain,dex,dex,standard,2025-03-27T13:14:57.452368,standard,0.99,-121.63041450089622,2025-03-27T13:14:57.453101,0.004742522652456805,success,AIOptimizedTrader,-121.63041450089622,standard,,,,
opp_direct_2_6476,direct,base,USDC/DAI,pancakeswap,balancer,1467.6364639618291,1495.7547491093362,0.43692623237890615,236.38379196508754,12.281742727444804,236.38379196508754,0.0038736630112259527,0.0034608295837673738,0.48156311742235414,onchain,dex,dex,flashloan,2025-03-27T13:14:57.434779,flashloan,0.99,236.38379196508754,2025-03-27T13:14:57.435399,0.0034608295837673738,success,AIOptimizedTrader,236.38379196508754,flashloan,,,,
opp_direct_3_6835,direct,base,ETH/USDT,uniswap,sushiswap,914.5883452522454,887.4862026988205,3.189081809226942,-86.43210951464486,-86.43210951464486,-461.5107067749679,0.0011597064421832682,0.004878655101562332,0.48197782034015846,onchain,dex,dex,standard,2025-03-27T13:14:57.450613,standard,0.99,-86.43210951464486,2025-03-27T13:14:57.451409,0.0011597064421832682,success,AIOptimizedTrader,-86.43210951464486,standard,,,,
opp_triangle_3_2278,triangle,ethereum,,,,,,5.397005138379365,0.17277861731347507,0.17277861731347507,0.14004284700075434,0.005116838502982782,0.008008120955972873,0.2498156180708024,onchain,,,flashloan,2025-03-27T13:14:57.433405,flashloan,0.5059326457113402,0.14004284700075434,2025-03-27T13:14:57.433486,0.008008120955972873,success,AIOptimizedTrader,0.14004284700075434,standard,curve,"['USDC', 'DAI', 'WBTC', 'MATIC', 'USDC']","['USDC/DAI', 'DAI/WBTC', 'WBTC/MATIC', 'MATIC/USDC']","[726.8935281420531, 715.707858744711, 723.2312529878683, 731.3219012675673]"
opp_triangle_6_3225,triangle,arbitrum,,,,,,7.59310087156471,4.635688863790809,0.32414034685144294,4.635688863790809,0.002967363393666863,0.007703811897889069,0.28731000473435436,onchain,,,flashloan,2025-03-27T13:14:57.452386,flashloan,0.99,4.635688863790809,2025-03-27T13:14:57.453106,0.007703811897889069,success,AIOptimizedTrader,4.635688863790809,flashloan,pancakeswap,"['ETH', 'USDC', 'USDT', 'ETH']","['ETH/USDC', 'USDC/USDT', 'USDT/ETH']","[1612.6319213688869, 1602.0925985969816, 1626.4419054307518]"
opp_direct_2_7713,direct,arbitrum,MATIC/USDT,curve,sushiswap,4974.497430659974,5055.49264332108,4.138674220404454,335.2103962301948,335.2103962301948,278.3764655584237,0.0024023865012268407,0.007928553929705689,0.2233978774992779,onchain,dex,dex,standard,2025-03-27T13:14:57.447260,standard,0.16954704063755305,335.2103962301948,2025-03-27T13:14:57.447630,0.0024023865012268407,success,AIOptimizedTrader,335.2103962301948,standard,,,,
opp_triangle_1_9657,triangle,base,,,,,,5.129833966944722,2.6670728948923266,0.22544418853433712,2.6670728948923266,0.0024107769295644817,0.005369630027037197,0.15680589082200697,onchain,,,flashloan,2025-03-27T13:14:57.442829,flashloan,0.99,2.6670728948923266,2025-03-27T13:14:57.443135,0.005369630027037197,success,AIOptimizedTrader,2.6670728948923266,flashloan,sushiswap,"['USDC', 'ETH', 'WBTC', 'USDC']","['USDC/ETH', 'ETH/WBTC', 'WBTC/USDC']","[241.69845553494704, 246.1122764905054, 243.10922025879094]"
opp_direct_5_9866,direct,base,WBTC/ETH,sushiswap,uniswap,4696.382917029656,4897.871153943871,1.909286631372871,4838.337182085925,384.69702938308325,4838.337182085925,0.0017677361174648083,0.0051005327374536264,0.12872225018275665,onchain,dex,dex,flashloan,2025-03-27T13:14:57.445764,flashloan,0.99,4838.337182085925,2025-03-27T13:14:57.446474,0.0051005327374536264,success,AIOptimizedTrader,4838.337182085925,flashloan,,,,
opp_direct_1_9671,direct,optimism,WBTC/ETH,curve,pancakeswap,4994.545639087412,5228.704157728149,2.111948637446044,8640.739474998627,494.5279352631648,8640.739474998627,0.0028291265226572937,0.007341392851480735,0.49041826757325246,onchain,dex,dex,flashloan,2025-03-27T13:14:57.433579,flashloan,0.99,8640.739474998627,2025-03-27T13:14:57.434181,0.007341392851480735,success,AIOptimizedTrader,8640.739474998627,flashloan,,,,
opp_triangle_4_9247,triangle,polygon,,,,,,7.490485998675513,2.8237514900290144,0.2781014783554878,2.8237514900290144,0.004118162029937466,0.008486586130466857,0.38901196664637683,onchain,,,flashloan,2025-03-27T13:14:57.434805,flashloan,0.99,2.8237514900290144,2025-03-27T13:14:57.435408,0.008486586130466857,success,AIOptimizedTrader,2.8237514900290144,flashloan,pancakeswap,"['ETH', 'DAI', 'WBTC', 'ETH']","['ETH/DAI', 'DAI/WBTC', 'WBTC/ETH']","[1310.785422513221, 1321.176444662219, 1307.2249162185751]"
opp_direct_1_2287,direct,base,MATIC/USDT,uniswap,curve,3100.91189470779,2981.3389363753613,3.764920548361775,-450.1873785270946,-450.1873785270946,-3361.536527944442,0.004690672927422685,0.006961671149726349,0.3577134202024741,onchain,dex,dex,standard,2025-03-27T13:14:57.443230,standard,0.99,-450.1873785270946,2025-03-27T13:14:57.443824,0.004690672927422685,success,AIOptimizedTrader,-450.1873785270946,standard,,,,
